feature_id,identifiability_score,decoder_norm,activation_frequency
465,0.7910874413732114,0.7354778,0.002733002
466,0.9998423725284148,0.08447205,0.007992232
467,0.8068936019684313,0.85805005,0.0018339881
468,0.8629174533172802,1.0195316,0.000521428
469,0.8760975487149139,0.53538406,0.012190627
470,0.9957099958444882,0.8273504,0.00012586193
471,0.8690284023869154,0.6376067,0.0022385444
472,0.8270607824499696,0.65187806,0.004953566
473,0.8411975280567416,0.7830782,0.0032814003
474,0.7703120941815849,1.2130098,0.00020677317
475,0.8109092367673689,0.5763362,0.006481889
476,0.9356735087236712,0.98729646,0.00024273372
477,0.591976395577279,0.9940586,0.0008001223
478,0.7198501623325237,0.8729425,0.0018609585
479,0.5497496425303213,1.2256194,8.990138e-06
480,0.9199749769102804,0.63720834,0.0004944576
481,0.6571061655481374,0.9943669,0.0008810335
482,0.999993142250332,0.056772437,0.0092868125
483,0.5963126199836782,1.2095777,0.0004495069
484,0.6653318103463088,1.0363468,9.889151e-05
485,0.6793975661493296,1.0238483,0.0012136686
486,0.8308201717298106,0.4681312,0.005016497
487,0.8592841880823021,1.0653703,0.0005573885
488,0.7471341009442287,0.9867104,0.0010068954
489,0.8237777775749809,0.5254507,0.0040096017
490,0.9024943186519244,0.570551,0.006239156
491,0.8251175292961096,0.984157,0.0029757356
492,0.890689447474457,0.5751679,0.0031465483
493,0.7519232810111673,0.9806175,0.0002876844
494,0.7043374340798901,0.9168466,0.0003326351
495,0.999997268215321,0.058059465,0.009250852
496,0.9992785994406724,0.09357816,0.09463918
497,0.8561758929493956,0.95100754,0.00058435893
498,0.7980109400851655,0.6999815,0.0006113294
499,0.813748047328229,0.5729884,0.0032184694
500,0.7926571676176857,0.70510256,0.0015283234
501,0.805456182792009,0.7876478,0.004692852
502,0.8387242557024056,0.52155733,0.0022475345
503,0.9296595506801116,0.704193,0.0036769663
504,0.952310470178218,1.008996,0.0006203195
505,0.8313579569689679,0.6219056,0.004980536
506,0.605937521851711,0.8857582,0.004054552
507,0.759925681558289,0.9298342,0.0025711795
508,0.9497675052540592,0.52606404,0.0032993807
509,0.8187805327101227,0.65702075,0.0053311517
510,0.4836984252091809,1.225874,0.00041354634
511,0.840375324781153,0.69111884,0.0051693292
512,0.9999977412105886,0.07483937,0.0063650175
513,0.8079089738306617,0.6782964,0.008738414
514,0.9320297592392636,0.700963,0.0048366943
515,0.9021264241578872,0.4010397,0.0064099682
516,0.7902560481988279,0.9802007,0.0005483984
517,0.9731699390065776,0.49535963,0.00392869
518,0.8189222644991613,0.73713374,0.006463909
519,0.6313429680017653,1.0346574,0.0012676094
520,0.7478018875262387,0.71431315,0.0049176053
521,0.8515758305511969,0.7245757,0.0011417475
522,0.8630213150550128,0.34011325,0.008801345
523,0.6783922314701417,1.546441,0.0003596055
524,0.7035605768172768,0.92735976,0.00016182248
525,0.9999884968222847,0.07570904,0.005492974
526,0.6251928149050519,1.3000569,0.0016451952
527,0.9240952857555852,0.58297616,0.004683862
528,0.8931557262501792,0.58237594,0.0006023392
529,0.9369553265212782,0.81640095,0.0022385444
530,0.7459794928537439,0.87657523,0.00019778303
531,0.8723543562402756,0.3600119,0.014141487
532,0.9323082834501192,0.37443027,0.010266737
533,0.7232674681885587,0.73615164,0.0024543076
534,0.812263072849285,1.0298134,0.0017440867
535,0.99999932791902,0.07295586,0.009457625
536,0.8720832947402546,0.85694474,0.0009889152
537,0.8858980077675084,0.6639441,0.002283495
538,0.9561241873436352,0.30340302,0.006382998
539,0.8523959281131059,0.75966525,0.008747404
540,0.8234029715678611,0.7722204,0.003847779
541,0.9007654182548216,0.59175223,0.006733613
542,0.8625161999365251,1.0719861,0.00029667455
543,0.9462840132783784,0.3279739,0.018465742
544,0.7314917820337693,0.8166637,0.0012226588
545,0.8036802884199745,0.66190624,0.00025172386
546,0.8919954082363182,1.2052914,0.00017980275
547,0.876133566009652,0.5229182,0.007641617
548,0.9739538587176604,0.52477276,0.0040905126
549,0.7985203355021997,0.68835694,0.003856769
550,0.824156481757852,0.7953716,0.0006922406
551,0.8053101868902584,0.65752923,0.0027599724
552,0.8908288902297719,0.73360336,0.0070302878
553,0.8813833031658813,0.43866524,0.008136075
554,0.8333828948025958,0.6896123,0.00038657594
555,0.7157458372606904,0.7250328,0.0046479013
556,0.9999988946803288,0.060206752,0.009304793
557,0.9961647057233174,0.34459937,0.008684473
558,0.9226865631252072,0.5302458,0.0055738855
559,0.999982712781441,0.056546424,0.004486079
560,0.8409537267386449,0.613594,0.0052502407
561,0.7754129573692984,0.92421544,0.00012586193
562,0.9088629642499024,0.5002547,0.009844201
563,0.9999918862918356,0.07510504,0.0043781972
564,0.8628928960798263,0.5191456,0.002346426
565,0.9421239816603656,0.58147603,0.0020317712
566,0.873446699682658,0.67342675,0.0029847259
567,0.6209876477728437,1.0513841,0.0010158856
568,0.8026553235932906,1.0248452,0.0040185917
569,0.8604967727122591,0.65336376,0.009754299
570,0.5965355119127347,0.9533843,0.0005394083
571,0.8500617530267986,0.6581764,0.009763289
572,0.9129835719508146,1.1108398,0.00017081262
573,0.8536005132835208,0.68029994,0.0018879289
574,0.7886766491269742,0.65127623,0.00010788166
575,0.9801186253364598,0.15038902,0.017503798
576,0.8239289356091315,0.942866,0.0013215502
577,0.9421239816603656,0.6090498,0.0017890374
578,0.71493381991405,1.1609489,0.0020317712
579,0.707289051530698,0.9606557,0.0021935937
580,0.7210957438496282,1.0309595,0.00015283235
581,0.966995635856501,0.2818248,0.014258359
582,0.7225042204477762,1.0987765,0.0019958105
583,0.8249928193995428,0.60434806,0.0049265954
584,0.7579734051159264,0.7477742,0.0069493763
585,0.9569210124433016,0.33315685,0.012631143
586,0.9986651480751664,0.43511623,0.002283495
587,0.7623455771420656,0.87921536,0.0035331242
588,0.9128082908946616,0.6546224,0.0048456844
589,0.723192652882257,0.9218981,0.001366501
